
Package Id,Length,Width,Height,Weight,Type,Delay Cost
1,77,50,110,131,Economy,70
2,81,104,60,106,Economy,139
3,59,55,58,65,Economy,125
4,46,95,44,15,Economy,94
5,60,67,63,15,Economy,118
6,95,108,89,137,Economy,90
7,77,94,54,58,Economy,69
8,97,75,90,90,Economy,73
9,67,44,58,59,Economy,88
10,81,106,98,122,Economy,127
11,104,56,105,178,Economy,83
12,46,82,79,27,Economy,97
13,92,76,96,191,Economy,122
14,64,54,102,47,Economy,70
15,75,95,74,66,Economy,114
16,52,45,104,74,Economy,123
17,99,45,74,45,Economy,87
18,45,83,51,29,Economy,71
19,76,67,70,61,Economy,67
20,99,69,71,80,Economy,93
21,70,83,80,64,Economy,107
22,99,96,53,76,Economy,125
23,55,101,56,12,Economy,124
24,53,63,53,29,Economy,87
25,68,91,107,93,Economy,105
26,93,87,64,54,Economy,139
27,50,53,77,60,Economy,79
28,91,110,59,45,Economy,108
29,53,92,74,122,Economy,94
30,67,85,76,96,Economy,99
31,96,44,99,48,Economy,108
32,87,90,49,40,Economy,90
33,52,57,98,63,Economy,83
34,46,93,99,69,Economy,78
35,55,67,89,46,Economy,70
36,49,52,85,49,Economy,134
37,106,82,95,199,Economy,97
38,65,80,55,116,Economy,110
39,85,94,94,99,Economy,65
40,58,62,104,36,Economy,82
41,110,61,100,107,Economy,77
42,56,79,66,26,Economy,92
43,82,66,52,82,Economy,71
44,84,102,72,182,Economy,117
45,99,94,96,96,Economy,98
46,88,78,95,150,Economy,132
47,88,48,44,74,Economy,137
48,46,77,75,61,Economy,69
49,86,99,106,179,Economy,110
50,100,104,52,99,Economy,117
51,108,85,40,53,Economy,85
52,63,69,98,47,Economy,108
53,55,53,65,56,Economy,77
54,94,67,57,32,Economy,71
55,89,89,81,63,Economy,131
56,75,84,47,19,Economy,90
57,60,49,104,82,Economy,102
58,88,107,59,63,Economy,142
59,84,96,66,157,Economy,98
60,79,66,78,63,Economy,84
61,83,76,41,10,Economy,72
62,64,62,51,25,Economy,124
63,46,57,100,40,Economy,121
64,102,54,56,122,Economy,85
65,77,83,85,90,Economy,66
66,43,43,87,14,Economy,126
67,70,79,103,91,Economy,105
68,41,75,94,21,Economy,78
69,63,82,86,17,Economy,100
70,45,54,87,13,Economy,105
71,106,85,94,142,Economy,149
72,66,92,61,56,Economy,91
73,43,97,55,38,Economy,114
74,78,94,98,87,Economy,126
75,84,61,102,96,Economy,68
76,98,63,55,97,Economy,121
77,59,43,72,17,Economy,79
78,67,74,80,97,Economy,136
79,58,88,106,70,Economy,98
80,83,75,78,93,Economy,124
81,47,74,92,48,Economy,63
82,43,83,86,36,Economy,143
83,90,55,50,38,Economy,90
84,81,92,45,10,Economy,113
85,87,76,99,61,Economy,90
86,43,45,72,23,Economy,99
87,92,77,89,54,Economy,86
88,45,93,44,31,Economy,78
89,79,45,44,32,Economy,96
90,70,59,59,23,Economy,62
91,99,87,63,103,Economy,129
92,62,49,56,30,Economy,99
93,94,108,46,67,Economy,142
94,78,72,60,61,Economy,124
95,46,73,91,60,Economy,98
96,75,44,72,26,Economy,109
97,68,69,78,44,Economy,92
98,63,74,88,88,Economy,127
99,94,57,43,126,Economy,107
100,109,56,67,134,Economy,74
101,54,106,86,59,Economy,78
102,99,109,101,266,Economy,115
103,48,74,48,43,Economy,123
104,71,84,78,68,Economy,103
105,94,44,82,118,Economy,119
106,45,86,84,142,Economy,77
107,91,96,46,56,Economy,130
108,61,67,110,180,Economy,72
109,54,102,45,85,Economy,100
110,78,93,99,100,Economy,138
111,109,61,98,146,Economy,112
112,93,97,79,125,Economy,127
113,85,55,62,71,Economy,91
114,66,68,99,94,Economy,102
115,64,63,95,65,Economy,85
116,92,59,41,25,Economy,90
117,72,73,59,110,Economy,74
118,102,71,78,107,Economy,145
119,79,54,86,53,Economy,123
120,68,78,42,63,Economy,104
121,46,47,53,10,Economy,103
122,103,72,46,49,Economy,88
123,88,40,57,85,Economy,125
124,81,86,67,49,Economy,97
125,44,85,79,12,Economy,123
126,86,87,60,106,Economy,61
127,76,58,104,131,Economy,82
128,55,59,78,53,Economy,129
129,74,97,68,80,Economy,81
130,97,70,49,74,Economy,97
