{'carton_id': 'P-334', 'container_id': 'U1', 'x': 65.0, 'y': 71.0, 'z': 51.0, 'DimX': 65.0, 'DimY': 99.0, 'DimZ': 54.0, 'weight': 103, 'cost': 102, 'Priority': 'Economy'}
{'carton_id': 'P-242', 'container_id': 'U1', 'x': -0.0, 'y': 171.0, 'z': 54.0, 'DimX': 69.0, 'DimY': 89.0, 'DimZ': 53.0, 'weight': 48, 'cost': 118, 'Priority': 'Economy'}
{'carton_id': 'P-258', 'container_id': 'U1', 'x': 68.0, 'y': 94.0, 'z': 107.0, 'DimX': 71.0, 'DimY': 82.0, 'DimZ': 55.0, 'weight': 43, 'cost': 138, 'Priority': 'Economy'}
{'carton_id': 'P-120', 'container_id': 'U1', 'x': -0.0, 'y': 176.0, 'z': 113.0, 'DimX': 74.0, 'DimY': 91.0, 'DimZ': 48.0, 'weight': 82, 'cost': 105, 'Priority': 'Economy'}
{'carton_id': 'P-363', 'container_id': 'U1', 'x': 157.0, 'y': 71.0, 'z': -0.0, 'DimX': 67.0, 'DimY': 79.0, 'DimZ': 72.0, 'weight': 29, 'cost': 136, 'Priority': 'Economy'}
{'carton_id': 'P-209', 'container_id': 'U1', 'x': 71.0, 'y': 57.0, 'z': -0.0, 'DimX': 72.0, 'DimY': 75.0, 'DimZ': 44.0, 'weight': 57, 'cost': 74, 'Priority': 'Economy'}
{'carton_id': 'P-336', 'container_id': 'U1', 'x': -0.0, 'y': -0.0, 'z': 113.0, 'DimX': 68.0, 'DimY': 72.0, 'DimZ': 49.0, 'weight': 33, 'cost': 114, 'Priority': 'Economy'}
{'carton_id': 'P-85', 'container_id': 'U1', 'x': -0.0, 'y': 132.0, 'z': 113.0, 'DimX': 68.0, 'DimY': 44.0, 'DimZ': 47.0, 'weight': 42, 'cost': 74, 'Priority': 'Economy'}
{'carton_id': 'P-244', 'container_id': 'U1', 'x': 149.0, 'y': 155.0, 'z': 100.0, 'DimX': 75.0, 'DimY': 76.0, 'DimZ': 62.0, 'weight': 24, 'cost': 111, 'Priority': 'Economy'}
{'carton_id': 'P-19', 'container_id': 'U1', 'x': -0.0, 'y': 173.0, 'z': -0.0, 'DimX': 69.0, 'DimY': 87.0, 'DimZ': 51.0, 'weight': 73, 'cost': 107, 'Priority': 'Economy'}
{'carton_id': 'P-386', 'container_id': 'U1', 'x': -0.0, 'y': 57.0, 'z': 50.0, 'DimX': 65.0, 'DimY': 110.0, 'DimZ': 63.0, 'weight': 88, 'cost': 120, 'Priority': 'Economy'}
{'carton_id': 'P-341', 'container_id': 'U1', 'x': -0.0, 'y': -0.0, 'z': -0.0, 'DimX': 72.0, 'DimY': 57.0, 'DimZ': 87.0, 'weight': 50, 'cost': 109, 'Priority': 'Economy'}
{'carton_id': 'P-5', 'container_id': 'U1', 'x': 66.0, 'y': 260.0, 'z': -0.0, 'DimX': 88.0, 'DimY': 58.0, 'DimZ': 64.0, 'weight': 93, 'cost': 139, 'Priority': 'Economy'}
{'carton_id': 'P-59', 'container_id': 'U1', 'x': 139.0, 'y': -0.0, 'z': 113.0, 'DimX': 85.0, 'DimY': 79.0, 'DimZ': 49.0, 'weight': 26, 'cost': 111, 'Priority': 'Economy'}
{'carton_id': 'P-29', 'container_id': 'U1', 'x': 74.0, 'y': 176.0, 'z': 109.0, 'DimX': 62.0, 'DimY': 86.0, 'DimZ': 53.0, 'weight': 23, 'cost': 122, 'Priority': 'Economy'}
{'carton_id': 'P-374', 'container_id': 'U1', 'x': 143.0, 'y': -0.0, 'z': -0.0, 'DimX': 81.0, 'DimY': 71.0, 'DimZ': 101.0, 'weight': 169, 'cost': 96, 'Priority': 'Economy'}
{'carton_id': 'P-172', 'container_id': 'U1', 'x': 69.0, 'y': 189.0, 'z': -0.0, 'DimX': 76.0, 'DimY': 71.0, 'DimZ': 51.0, 'weight': 22, 'cost': 112, 'Priority': 'Economy'}
{'carton_id': 'P-400', 'container_id': 'U1', 'x': 79.0, 'y': 132.0, 'z': -0.0, 'DimX': 64.0, 'DimY': 52.0, 'DimZ': 50.0, 'weight': 37, 'cost': 71, 'Priority': 'Economy'}
{'carton_id': 'P-189', 'container_id': 'U1', 'x': 69.0, 'y': 170.0, 'z': 51.0, 'DimX': 63.0, 'DimY': 87.0, 'DimZ': 56.0, 'weight': 66, 'cost': 121, 'Priority': 'Economy'}
{'carton_id': 'P-63', 'container_id': 'U1', 'x': 139.0, 'y': 79.0, 'z': 87.0, 'DimX': 85.0, 'DimY': 69.0, 'DimZ': 75.0, 'weight': 111, 'cost': 116, 'Priority': 'Economy'}
